Country,Count,Earliest,Latest
Canada,7437,2021-04-01,2021-10-18
USA,1904,2021-01-14,2021-11-02
Chile,1220,2021-01-10,2021-10-30
Aruba,470,2021-04-10,2021-10-13
Colombia,223,2021-06-08,2021-10-06
United Kingdom,161,2021-06-28,2021-10-26
Puerto Rico,118,2021-07-10,2021-09-28
Peru,85,2021-07-22,2021-10-12
Costa Rica,50,2021-07-01,2021-10-12
Mexico,49,2021-06-29,2021-10-24
U.S. Virgin Islands,42,2021-06-24,2021-08-18
Germany,37,2021-07-20,2021-10-25
Sint Maarten,33,2021-07-30,2021-09-17
Israel,33,2021-01-02,2021-09-17
Luxembourg,26,2021-08-23,2021-10-08
Netherlands,25,2021-07-11,2021-10-25
Italy,19,2021-07-05,2021-10-27
Argentina,16,2021-06-29,2021-09-07
Bonaire,9,2021-08-06,2021-08-28
Switzerland,9,2021-07-21,2021-10-22
Spain,9,2021-08-10,2021-10-20
France,8,2021-07-20,2021-10-05
Lithuania,7,2021-08-05,2021-09-11
Japan,6,2021-07-19,2021-09-09
Portugal,5,2021-07-23,2021-09-27
Ecuador,5,2021-07-22,2021-10-02
Bulgaria,5,2021-08-02,2021-08-23
Iceland,5,2021-07-09,2021-08-24
Guatemala,4,2021-07-02,2021-08-06
Slovakia,4,2021-08-09,2021-08-11
Sweden,4,2021-06-22,2021-08-11
Belgium,4,2021-07-12,2021-10-19
Czech Republic,4,2021-09-10,2021-10-05
The Bahamas,3,2021-07-22,2021-08-07
Ghana,3,2021-08-12,2021-08-13
Hong Kong,3,2021-07-18,2021-07-20
Denmark,3,2021-08-28,2021-09-02
Ireland,2,2021-08-26,2021-08-27
Belize,2,2021-06-27,2021-06-28
South Korea,2,2021-07-20,2021-08-02
Estonia,2,2021-08-12,2021-09-24
Jamaica,2,2021-07-22,2021-07-22
Montenegro,2,2021-08-08,2021-08-26
Brazil,2,2021-08-12,2021-08-31
Guadeloupe,1,2021-08-30,2021-08-30
Grenada,1,2021-07-26,2021-07-26
New Zealand,1,2021-07-22,2021-07-22
Australia,1,2021-08-21,2021-08-21
Singapore,1,2021-10-18,2021-10-18
Dominican Republic,1,2021-09-08,2021-09-08
Martinique,1,2021-10-19,2021-10-19
Curacao,1,2021-07-21,2021-07-21
